episode,file,actions_taken,total_reward,epsilon,instrs_eliminated
0,tests/train_files/train_deep_none_dominated_no_large_v01.simpl,0,3181.8181,1.000,35
0,tests/train_files/train_deep_none_dominated_no_large_v02.simpl,0,3181.8181,1.000,35
0,tests/train_files/train_deep_none_dominated_no_large_v03.simpl,0,2916.6667,1.000,35
0,tests/train_files/train_deep_none_dominated_no_medium_v01.simpl,0,250.0000,1.000,1
0,tests/train_files/train_deep_none_dominated_no_medium_v02.simpl,0,250.0000,1.000,1
0,tests/train_files/train_deep_none_dominated_no_medium_v03.simpl,0,250.0000,1.000,1
0,tests/train_files/train_deep_none_none_no_large_v01.simpl,0,2692.3076,1.000,35
0,tests/train_files/train_deep_none_none_no_large_v02.simpl,0,3181.8181,1.000,35
0,tests/train_files/train_deep_none_none_no_large_v03.simpl,0,2500.0000,1.000,35
0,tests/train_files/train_deep_none_none_no_medium_v01.simpl,0,0.0000,1.000,0
0,tests/train_files/train_deep_none_none_no_medium_v02.simpl,0,0.0000,1.000,0
0,tests/train_files/train_deep_none_none_no_medium_v03.simpl,0,0.0000,1.000,0
0,tests/train_files/train_none_few_dominated_has_large_v01.simpl,0,4844.1562,1.000,51
0,tests/train_files/train_none_few_dominated_has_large_v02.simpl,0,4583.3335,1.000,51
0,tests/train_files/train_none_few_dominated_has_large_v03.simpl,0,4939.3940,1.000,51
0,tests/train_files/train_none_few_dominated_has_medium_v01.simpl,0,7499.9995,1.000,11
0,tests/train_files/train_none_few_dominated_has_medium_v02.simpl,0,10999.9990,1.000,11
0,tests/train_files/train_none_few_dominated_has_medium_v03.simpl,0,7499.9995,1.000,11
0,tests/train_files/train_none_few_dominated_no_large_v01.simpl,0,4844.1562,1.000,51
0,tests/train_files/train_none_few_dominated_no_large_v02.simpl,0,5557.1426,1.000,53
0,tests/train_files/train_none_few_dominated_no_large_v03.simpl,0,5366.6665,1.000,51
0,tests/train_files/train_none_few_dominated_no_medium_v01.simpl,0,7499.9995,1.000,11
0,tests/train_files/train_none_few_dominated_no_medium_v02.simpl,0,6499.9995,1.000,13
0,tests/train_files/train_none_few_dominated_no_medium_v03.simpl,0,6333.3330,1.000,11
0,tests/train_files/train_none_few_light_has_large_v01.simpl,0,4750.0000,1.000,53
0,tests/train_files/train_none_few_light_has_large_v02.simpl,0,5025.9741,1.000,53
0,tests/train_files/train_none_few_light_has_large_v03.simpl,0,5566.6665,1.000,53
0,tests/train_files/train_none_few_light_has_medium_v01.simpl,0,11999.9990,1.000,12
0,tests/train_files/train_none_few_light_has_medium_v02.simpl,0,7999.9995,1.000,12
0,tests/train_files/train_none_few_light_has_medium_v03.simpl,0,7999.9995,1.000,12
0,tests/train_files/train_none_few_light_has_tiny_v01.simpl,0,7499.9995,1.000,11
0,tests/train_files/train_none_few_light_has_tiny_v02.simpl,0,7499.9995,1.000,11
0,tests/train_files/train_none_few_light_has_tiny_v03.simpl,0,7499.9995,1.000,11
0,tests/train_files/train_none_few_light_no_large_v01.simpl,0,4954.5454,1.000,53
0,tests/train_files/train_none_few_light_no_large_v02.simpl,0,5900.0000,1.000,55
0,tests/train_files/train_none_few_light_no_large_v03.simpl,0,5121.2119,1.000,53
0,tests/train_files/train_none_few_light_no_medium_v01.simpl,0,7999.9995,1.000,12
0,tests/train_files/train_none_few_light_no_medium_v02.simpl,0,9999.9990,1.000,14
0,tests/train_files/train_none_few_light_no_medium_v03.simpl,0,6666.6665,1.000,12
0,tests/train_files/train_none_few_light_no_tiny_v01.simpl,0,10999.9990,1.000,11
0,tests/train_files/train_none_few_light_no_tiny_v02.simpl,0,9499.9990,1.000,13
0,tests/train_files/train_none_few_light_no_tiny_v03.simpl,0,7499.9995,1.000,11
0,tests/train_files/train_none_few_none_has_large_v01.simpl,0,5207.7925,1.000,55
0,tests/train_files/train_none_few_none_has_large_v02.simpl,0,5207.7925,1.000,55
0,tests/train_files/train_none_few_none_has_large_v03.simpl,0,4821.4287,1.000,55
0,tests/train_files/train_none_few_none_has_medium_v01.simpl,0,9000.0000,1.000,14
0,tests/train_files/train_none_few_none_has_medium_v02.simpl,0,9000.0000,1.000,14
0,tests/train_files/train_none_few_none_has_medium_v03.simpl,0,9000.0000,1.000,14
0,tests/train_files/train_none_few_none_has_tiny_v01.simpl,0,10999.9990,1.000,11
0,tests/train_files/train_none_few_none_has_tiny_v02.simpl,0,10999.9990,1.000,11
0,tests/train_files/train_none_few_none_has_tiny_v03.simpl,0,7499.9995,1.000,11
0,tests/train_files/train_none_few_none_no_large_v01.simpl,0,5207.7925,1.000,55
0,tests/train_files/train_none_few_none_no_large_v02.simpl,0,5493.5068,1.000,57
0,tests/train_files/train_none_few_none_no_large_v03.simpl,0,5303.0303,1.000,55
0,tests/train_files/train_none_few_none_no_medium_v01.simpl,0,7000.0000,1.000,14
0,tests/train_files/train_none_few_none_no_medium_v02.simpl,0,16000.0000,1.000,16
0,tests/train_files/train_none_few_none_no_medium_v03.simpl,0,14000.0000,1.000,14
0,tests/train_files/train_none_few_none_no_tiny_v01.simpl,0,10999.9990,1.000,11
0,tests/train_files/train_none_few_none_no_tiny_v02.simpl,0,12999.9990,1.000,13
0,tests/train_files/train_none_few_none_no_tiny_v03.simpl,0,5499.9995,1.000,11
0,tests/train_files/train_none_many_dominated_has_large_v01.simpl,0,5133.3335,1.000,48
0,tests/train_files/train_none_many_dominated_has_large_v02.simpl,0,5633.3335,1.000,51
0,tests/train_files/train_none_many_dominated_has_large_v03.simpl,0,6277.7778,1.000,49
0,tests/train_files/train_none_many_dominated_has_medium_v01.simpl,0,12333.3330,1.000,27
0,tests/train_files/train_none_many_dominated_has_medium_v02.simpl,0,10250.0000,1.000,28
0,tests/train_files/train_none_many_dominated_has_medium_v03.simpl,0,9500.0000,1.000,27
0,tests/train_files/train_none_many_dominated_no_large_v01.simpl,0,4966.6665,1.000,47
0,tests/train_files/train_none_many_dominated_no_large_v02.simpl,0,6177.7778,1.000,50
0,tests/train_files/train_none_many_dominated_no_large_v03.simpl,0,5777.7778,1.000,48
0,tests/train_files/train_none_many_dominated_no_medium_v01.simpl,0,12000.0000,1.000,28
0,tests/train_files/train_none_many_dominated_no_medium_v02.simpl,0,10833.3330,1.000,29
0,tests/train_files/train_none_many_dominated_no_medium_v03.simpl,0,9500.0000,1.000,28
0,tests/train_files/train_none_many_light_has_large_v01.simpl,0,5168.8311,1.000,54
0,tests/train_files/train_none_many_light_has_large_v02.simpl,0,6042.8569,1.000,57
0,tests/train_files/train_none_many_light_has_large_v03.simpl,0,6100.0000,1.000,55
0,tests/train_files/train_none_many_light_has_medium_v01.simpl,0,8750.0000,1.000,20
0,tests/train_files/train_none_many_light_has_medium_v02.simpl,0,13000.0000,1.000,23
0,tests/train_files/train_none_many_light_has_medium_v03.simpl,0,13499.9990,1.000,21
0,tests/train_files/train_none_many_light_no_large_v01.simpl,0,5471.4287,1.000,53
0,tests/train_files/train_none_many_light_no_large_v02.simpl,0,6300.0000,1.000,56
0,tests/train_files/train_none_many_light_no_large_v03.simpl,0,5454.5454,1.000,54
0,tests/train_files/train_none_many_light_no_medium_v01.simpl,0,10750.0000,1.000,28
0,tests/train_files/train_none_many_light_no_medium_v02.simpl,0,16833.3320,1.000,29
0,tests/train_files/train_none_many_light_no_medium_v03.simpl,0,12750.0000,1.000,28
0,tests/train_files/train_none_many_none_has_large_v01.simpl,0,5350.6494,1.000,56
0,tests/train_files/train_none_many_none_has_large_v02.simpl,0,5392.8569,1.000,59
0,tests/train_files/train_none_many_none_has_large_v03.simpl,0,5636.3638,1.000,57
0,tests/train_files/train_none_many_none_has_medium_v01.simpl,0,10000.0000,1.000,20
0,tests/train_files/train_none_many_none_has_medium_v02.simpl,0,7749.9995,1.000,23
0,tests/train_files/train_none_many_none_has_medium_v03.simpl,0,6749.9995,1.000,21
0,tests/train_files/train_none_many_none_no_large_v01.simpl,0,4494.5054,1.000,55
0,tests/train_files/train_none_many_none_no_large_v02.simpl,0,5803.0303,1.000,58
0,tests/train_files/train_none_many_none_no_large_v03.simpl,0,6100.0000,1.000,56
0,tests/train_files/train_none_many_none_no_medium_v01.simpl,0,12500.0000,1.000,28
0,tests/train_files/train_none_many_none_no_medium_v02.simpl,0,9666.6660,1.000,29
0,tests/train_files/train_none_many_none_no_medium_v03.simpl,0,14000.0000,1.000,28
0,tests/train_files/train_none_none_dominated_no_large_v01.simpl,0,4454.5454,1.000,49
0,tests/train_files/train_none_none_dominated_no_large_v02.simpl,0,4454.5454,1.000,49
0,tests/train_files/train_none_none_dominated_no_large_v03.simpl,0,4454.5454,1.000,49
0,tests/train_files/train_none_none_dominated_no_medium_v01.simpl,0,7999.9995,1.000,8
0,tests/train_files/train_none_none_dominated_no_medium_v02.simpl,0,7999.9995,1.000,8
0,tests/train_files/train_none_none_dominated_no_medium_v03.simpl,0,7999.9995,1.000,8
0,tests/train_files/train_none_none_dominated_no_tiny_v01.simpl,0,999.9999,1.000,1
0,tests/train_files/train_none_none_dominated_no_tiny_v02.simpl,0,500.0000,1.000,1
0,tests/train_files/train_none_none_dominated_no_tiny_v03.simpl,0,999.9999,1.000,1
0,tests/train_files/train_none_none_none_no_large_v01.simpl,0,5166.6665,1.000,51
0,tests/train_files/train_none_none_none_no_large_v02.simpl,0,4012.8206,1.000,51
0,tests/train_files/train_none_none_none_no_large_v03.simpl,0,4012.8206,1.000,51
0,tests/train_files/train_none_none_none_no_medium_v01.simpl,0,5500.0000,1.000,10
0,tests/train_files/train_none_none_none_no_medium_v02.simpl,0,5500.0000,1.000,10
0,tests/train_files/train_none_none_none_no_medium_v03.simpl,0,10000.0000,1.000,10
0,tests/train_files/train_none_none_none_no_tiny_v01.simpl,0,1999.9999,1.000,2
0,tests/train_files/train_none_none_none_no_tiny_v02.simpl,0,1999.9999,1.000,2
0,tests/train_files/train_none_none_none_no_tiny_v03.simpl,0,1499.9999,1.000,2
0,tests/train_files/train_shallow_few_dominated_has_large_v01.simpl,0,3123.0769,1.000,39
0,tests/train_files/train_shallow_few_dominated_has_large_v02.simpl,0,3606.0605,1.000,37
0,tests/train_files/train_shallow_few_dominated_has_large_v03.simpl,0,2969.2307,1.000,37
0,tests/train_files/train_shallow_few_dominated_has_medium_v01.simpl,0,2250.0000,1.000,6
0,tests/train_files/train_shallow_few_dominated_has_medium_v02.simpl,0,1100.0000,1.000,4
0,tests/train_files/train_shallow_few_dominated_has_medium_v03.simpl,0,1100.0000,1.000,4
0,tests/train_files/train_shallow_few_dominated_no_large_v01.simpl,0,3116.6667,1.000,36
0,tests/train_files/train_shallow_few_dominated_no_large_v02.simpl,0,2750.0000,1.000,33
0,tests/train_files/train_shallow_few_dominated_no_large_v03.simpl,0,3290.9092,1.000,35
0,tests/train_files/train_shallow_few_dominated_no_medium_v01.simpl,0,1499.9999,1.000,3
0,tests/train_files/train_shallow_few_dominated_no_medium_v02.simpl,0,0.0000,1.000,0
0,tests/train_files/train_shallow_few_dominated_no_medium_v03.simpl,0,833.3333,1.000,2
0,tests/train_files/train_shallow_few_light_has_large_v01.simpl,0,3533.3333,1.000,41
0,tests/train_files/train_shallow_few_light_has_large_v02.simpl,0,3416.6667,1.000,39
0,tests/train_files/train_shallow_few_light_has_large_v03.simpl,0,3089.7437,1.000,39
0,tests/train_files/train_shallow_few_light_has_medium_v01.simpl,0,2250.0000,1.000,6
0,tests/train_files/train_shallow_few_light_has_medium_v02.simpl,0,1749.9999,1.000,4
0,tests/train_files/train_shallow_few_light_has_medium_v03.simpl,0,1249.9999,1.000,4
0,tests/train_files/train_shallow_few_light_no_large_v01.simpl,0,3333.3333,1.000,38
0,tests/train_files/train_shallow_few_light_no_large_v02.simpl,0,2692.3076,1.000,35
0,tests/train_files/train_shallow_few_light_no_large_v03.simpl,0,2600.0000,1.000,37
0,tests/train_files/train_shallow_few_light_no_medium_v01.simpl,0,900.0000,1.000,3
0,tests/train_files/train_shallow_few_light_no_medium_v02.simpl,0,0.0000,1.000,0
0,tests/train_files/train_shallow_few_light_no_medium_v03.simpl,0,1249.9999,1.000,2
0,tests/train_files/train_shallow_few_none_has_large_v01.simpl,0,3700.0000,1.000,43
0,tests/train_files/train_shallow_few_none_has_large_v02.simpl,0,3836.3638,1.000,41
0,tests/train_files/train_shallow_few_none_has_large_v03.simpl,0,3533.3333,1.000,41
0,tests/train_files/train_shallow_few_none_has_medium_v01.simpl,0,2250.0000,1.000,6
0,tests/train_files/train_shallow_few_none_has_medium_v02.simpl,0,1749.9999,1.000,4
0,tests/train_files/train_shallow_few_none_has_medium_v03.simpl,0,1249.9999,1.000,4
0,tests/train_files/train_shallow_few_none_no_large_v01.simpl,0,2985.7141,1.000,40
0,tests/train_files/train_shallow_few_none_no_large_v02.simpl,0,3363.6365,1.000,37
0,tests/train_files/train_shallow_few_none_no_large_v03.simpl,0,2914.2856,1.000,39
0,tests/train_files/train_shallow_few_none_no_medium_v01.simpl,0,999.9999,1.000,3
0,tests/train_files/train_shallow_few_none_no_medium_v02.simpl,0,0.0000,1.000,0
0,tests/train_files/train_shallow_few_none_no_medium_v03.simpl,0,1249.9999,1.000,2
0,tests/train_files/train_shallow_many_dominated_has_large_v01.simpl,0,3749.9998,1.000,35
0,tests/train_files/train_shallow_many_dominated_has_large_v02.simpl,0,3249.9998,1.000,31
0,tests/train_files/train_shallow_many_dominated_has_large_v03.simpl,0,3333.3333,1.000,32
0,tests/train_files/train_shallow_many_dominated_has_medium_v01.simpl,0,3749.9998,1.000,14
0,tests/train_files/train_shallow_many_dominated_has_medium_v02.simpl,0,2916.6667,1.000,10
0,tests/train_files/train_shallow_many_dominated_has_medium_v03.simpl,0,3166.6665,1.000,11
0,tests/train_files/train_shallow_many_dominated_no_large_v01.simpl,0,3666.6667,1.000,35
0,tests/train_files/train_shallow_many_dominated_no_large_v02.simpl,0,3833.3335,1.000,31
0,tests/train_files/train_shallow_many_dominated_no_large_v03.simpl,0,3733.3335,1.000,32
0,tests/train_files/train_shallow_many_dominated_no_medium_v01.simpl,0,3250.0000,1.000,14
0,tests/train_files/train_shallow_many_dominated_no_medium_v02.simpl,0,2761.9048,1.000,10
0,tests/train_files/train_shallow_many_dominated_no_medium_v03.simpl,0,2500.0000,1.000,11
0,tests/train_files/train_shallow_many_light_has_large_v01.simpl,0,4250.0000,1.000,41
0,tests/train_files/train_shallow_many_light_has_large_v02.simpl,0,3467.9485,1.000,37
0,tests/train_files/train_shallow_many_light_has_large_v03.simpl,0,3784.6152,1.000,38
0,tests/train_files/train_shallow_many_light_has_medium_v01.simpl,0,3949.9998,1.000,14
0,tests/train_files/train_shallow_many_light_has_medium_v02.simpl,0,2916.6667,1.000,10
0,tests/train_files/train_shallow_many_light_has_medium_v03.simpl,0,3666.6667,1.000,11
0,tests/train_files/train_shallow_many_light_no_large_v01.simpl,0,4166.6670,1.000,41
0,tests/train_files/train_shallow_many_light_no_large_v02.simpl,0,3666.6665,1.000,37
0,tests/train_files/train_shallow_many_light_no_large_v03.simpl,0,3907.6921,1.000,38
0,tests/train_files/train_shallow_many_light_no_medium_v01.simpl,0,5333.3335,1.000,14
0,tests/train_files/train_shallow_many_light_no_medium_v02.simpl,0,2833.3333,1.000,10
0,tests/train_files/train_shallow_many_light_no_medium_v03.simpl,0,3166.6667,1.000,11
0,tests/train_files/train_shallow_many_none_has_large_v01.simpl,0,4108.9741,1.000,43
0,tests/train_files/train_shallow_many_none_has_large_v02.simpl,0,3833.3333,1.000,39
0,tests/train_files/train_shallow_many_none_has_large_v03.simpl,0,3607.1428,1.000,40
0,tests/train_files/train_shallow_many_none_has_medium_v01.simpl,0,3749.9998,1.000,14
0,tests/train_files/train_shallow_many_none_has_medium_v02.simpl,0,2916.6667,1.000,10
0,tests/train_files/train_shallow_many_none_has_medium_v03.simpl,0,2571.4285,1.000,11
0,tests/train_files/train_shallow_many_none_no_large_v01.simpl,0,4890.9092,1.000,43
0,tests/train_files/train_shallow_many_none_no_large_v02.simpl,0,3628.2051,1.000,39
0,tests/train_files/train_shallow_many_none_no_large_v03.simpl,0,3794.8716,1.000,40
0,tests/train_files/train_shallow_many_none_no_medium_v01.simpl,0,5333.3335,1.000,14
0,tests/train_files/train_shallow_many_none_no_medium_v02.simpl,0,2708.3333,1.000,10
0,tests/train_files/train_shallow_many_none_no_medium_v03.simpl,0,3095.2383,1.000,11
0,tests/train_files/train_shallow_none_dominated_no_large_v01.simpl,0,3818.1819,1.000,42
0,tests/train_files/train_shallow_none_dominated_no_large_v02.simpl,0,3818.1819,1.000,42
0,tests/train_files/train_shallow_none_dominated_no_large_v03.simpl,0,3000.0000,1.000,42
0,tests/train_files/train_shallow_none_dominated_no_medium_v01.simpl,0,333.3333,1.000,1
0,tests/train_files/train_shallow_none_dominated_no_medium_v02.simpl,0,500.0000,1.000,1
0,tests/train_files/train_shallow_none_dominated_no_medium_v03.simpl,0,333.3333,1.000,1
0,tests/train_files/train_shallow_none_none_no_large_v01.simpl,0,3500.0000,1.000,42
0,tests/train_files/train_shallow_none_none_no_large_v02.simpl,0,3818.1819,1.000,42
0,tests/train_files/train_shallow_none_none_no_large_v03.simpl,0,3230.7690,1.000,42
0,tests/train_files/train_shallow_none_none_no_medium_v01.simpl,0,333.3333,1.000,1
0,tests/train_files/train_shallow_none_none_no_medium_v02.simpl,0,333.3333,1.000,1
0,tests/train_files/train_shallow_none_none_no_medium_v03.simpl,0,333.3333,1.000,1
0,tests/train_files/train_shallow_none_none_no_tiny_v01.simpl,0,0.0000,1.000,0
0,tests/train_files/train_shallow_none_none_no_tiny_v02.simpl,0,0.0000,1.000,0
0,tests/train_files/train_shallow_none_none_no_tiny_v03.simpl,0,0.0000,1.000,0
27301,tests/train_files/train_deep_few_dominated_has_large_v01.simpl,5,1676.1906,0.100,32
27302,tests/train_files/train_deep_few_dominated_has_large_v02.simpl,5,1650.0000,0.100,30
27303,tests/train_files/train_deep_few_dominated_has_large_v03.simpl,5,1403.7267,0.100,30
27304,tests/train_files/train_deep_few_dominated_has_medium_v01.simpl,5,812.5000,0.100,6
27305,tests/train_files/train_deep_few_dominated_has_medium_v02.simpl,5,700.0000,0.100,4
27306,tests/train_files/train_deep_few_dominated_has_medium_v03.simpl,5,714.2856,0.100,4
27307,tests/train_files/train_deep_few_dominated_no_large_v01.simpl,5,1600.0000,0.100,29
27308,tests/train_files/train_deep_few_dominated_no_large_v02.simpl,5,1181.8182,0.100,26
27309,tests/train_files/train_deep_few_dominated_no_large_v03.simpl,5,1485.7144,0.100,28
27310,tests/train_files/train_deep_few_dominated_no_medium_v01.simpl,5,476.1905,0.100,3
27311,tests/train_files/train_deep_few_dominated_no_medium_v02.simpl,5,0.0000,0.100,0
27312,tests/train_files/train_deep_few_dominated_no_medium_v03.simpl,5,266.6667,0.100,2
27313,tests/train_files/train_deep_few_light_has_large_v01.simpl,5,1738.0952,0.100,34
27314,tests/train_files/train_deep_few_light_has_large_v02.simpl,5,1640.9091,0.100,32
27315,tests/train_files/train_deep_few_light_has_large_v03.simpl,5,1676.1906,0.100,32
27316,tests/train_files/train_deep_few_light_has_medium_v01.simpl,5,857.1428,0.100,6
27317,tests/train_files/train_deep_few_light_has_medium_v02.simpl,5,1187.4999,0.100,4
27318,tests/train_files/train_deep_few_light_has_medium_v03.simpl,5,687.4999,0.100,4
27319,tests/train_files/train_deep_few_light_no_large_v01.simpl,5,1666.6666,0.100,31
27320,tests/train_files/train_deep_few_light_no_large_v02.simpl,5,1272.7273,0.100,28
27321,tests/train_files/train_deep_few_light_no_large_v03.simpl,5,1547.6190,0.100,30
27322,tests/train_files/train_deep_few_light_no_medium_v01.simpl,5,309.5238,0.100,3
27323,tests/train_files/train_deep_few_light_no_medium_v02.simpl,5,0.0000,0.100,0
27324,tests/train_files/train_deep_few_light_no_medium_v03.simpl,5,321.4286,0.100,2
27325,tests/train_files/train_deep_few_none_has_large_v01.simpl,5,1984.9625,0.100,36
27326,tests/train_files/train_deep_few_none_has_large_v02.simpl,5,1850.0000,0.100,34
27327,tests/train_files/train_deep_few_none_has_large_v03.simpl,5,1666.6666,0.100,34
27328,tests/train_files/train_deep_few_none_has_medium_v01.simpl,5,527.4725,0.100,6
27329,tests/train_files/train_deep_few_none_has_medium_v02.simpl,5,533.3334,0.100,4
27330,tests/train_files/train_deep_few_none_has_medium_v03.simpl,5,547.6190,0.100,4
27331,tests/train_files/train_deep_few_none_no_large_v01.simpl,5,1634.9207,0.100,33
27332,tests/train_files/train_deep_few_none_no_large_v02.simpl,5,1304.3478,0.100,30
27333,tests/train_files/train_deep_few_none_no_large_v03.simpl,5,1575.7576,0.100,32
