episode,file,actions_taken,total_reward,epsilon,instrs_eliminated
0,tests/train_files/train_deep_few_dominated_has_large_v01.simpl,0,2634.6152,1.000,32
0,tests/train_files/train_deep_few_dominated_has_large_v02.simpl,0,2666.6667,1.000,30
0,tests/train_files/train_deep_few_dominated_has_large_v03.simpl,0,2397.4360,1.000,30
0,tests/train_files/train_deep_few_dominated_has_medium_v01.simpl,0,1714.2856,1.000,6
0,tests/train_files/train_deep_few_dominated_has_medium_v02.simpl,0,1428.5713,1.000,4
0,tests/train_files/train_deep_few_dominated_has_medium_v03.simpl,0,1374.9999,1.000,4
0,tests/train_files/train_deep_few_dominated_no_large_v01.simpl,0,2410.2563,1.000,28
0,tests/train_files/train_deep_few_dominated_no_large_v02.simpl,0,2000.0000,1.000,26
0,tests/train_files/train_deep_few_dominated_no_large_v03.simpl,0,2276.9231,1.000,28
0,tests/train_files/train_deep_few_dominated_no_medium_v01.simpl,0,642.8571,1.000,2
0,tests/train_files/train_deep_few_dominated_no_medium_v02.simpl,0,0.0000,1.000,0
0,tests/train_files/train_deep_few_dominated_no_medium_v03.simpl,0,624.9999,1.000,2
0,tests/train_files/train_deep_few_light_has_large_v01.simpl,0,2557.1428,1.000,34
0,tests/train_files/train_deep_few_light_has_large_v02.simpl,0,2634.6152,1.000,32
0,tests/train_files/train_deep_few_light_has_large_v03.simpl,0,2464.2856,1.000,32
0,tests/train_files/train_deep_few_light_has_medium_v01.simpl,0,1625.0000,1.000,6
0,tests/train_files/train_deep_few_light_has_medium_v02.simpl,0,1428.5713,1.000,4
0,tests/train_files/train_deep_few_light_has_medium_v03.simpl,0,1428.5713,1.000,4
0,tests/train_files/train_deep_few_light_no_large_v01.simpl,0,2480.7693,1.000,30
0,tests/train_files/train_deep_few_light_no_large_v02.simpl,0,2153.8462,1.000,28
0,tests/train_files/train_deep_few_light_no_large_v03.simpl,0,2666.6667,1.000,30
0,tests/train_files/train_deep_few_light_no_medium_v01.simpl,0,642.8571,1.000,2
0,tests/train_files/train_deep_few_light_no_medium_v02.simpl,0,0.0000,1.000,0
0,tests/train_files/train_deep_few_light_no_medium_v03.simpl,0,624.9999,1.000,2
0,tests/train_files/train_deep_few_none_has_large_v01.simpl,0,2942.3076,1.000,36
0,tests/train_files/train_deep_few_none_has_large_v02.simpl,0,3083.3333,1.000,34
0,tests/train_files/train_deep_few_none_has_large_v03.simpl,0,2557.1428,1.000,34
0,tests/train_files/train_deep_few_none_has_medium_v01.simpl,0,1714.2856,1.000,6
0,tests/train_files/train_deep_few_none_has_medium_v02.simpl,0,1374.9999,1.000,4
0,tests/train_files/train_deep_few_none_has_medium_v03.simpl,0,928.5714,1.000,4
0,tests/train_files/train_deep_few_none_no_large_v01.simpl,0,2634.6152,1.000,32
0,tests/train_files/train_deep_few_none_no_large_v02.simpl,0,2142.8572,1.000,30
0,tests/train_files/train_deep_few_none_no_large_v03.simpl,0,2270.8333,1.000,32
0,tests/train_files/train_deep_few_none_no_medium_v01.simpl,0,666.6666,1.000,2
0,tests/train_files/train_deep_few_none_no_medium_v02.simpl,0,0.0000,1.000,0
0,tests/train_files/train_deep_few_none_no_medium_v03.simpl,0,476.1905,1.000,2
0,tests/train_files/train_deep_many_dominated_has_large_v01.simpl,0,3212.1211,1.000,25
0,tests/train_files/train_deep_many_dominated_has_large_v02.simpl,0,3083.3335,1.000,22
0,tests/train_files/train_deep_many_dominated_has_large_v03.simpl,0,2976.1902,1.000,23
0,tests/train_files/train_deep_many_dominated_has_medium_v01.simpl,0,2066.6667,1.000,13
0,tests/train_files/train_deep_many_dominated_has_medium_v02.simpl,0,1613.6364,1.000,9
0,tests/train_files/train_deep_many_dominated_has_medium_v03.simpl,0,1600.0000,1.000,10
0,tests/train_files/train_deep_many_dominated_no_large_v01.simpl,0,3050.0000,1.000,24
0,tests/train_files/train_deep_many_dominated_no_large_v02.simpl,0,2166.6665,1.000,21
0,tests/train_files/train_deep_many_dominated_no_large_v03.simpl,0,2676.9231,1.000,22
0,tests/train_files/train_deep_many_dominated_no_medium_v01.simpl,0,2350.0000,1.000,10
0,tests/train_files/train_deep_many_dominated_no_medium_v02.simpl,0,1749.9999,1.000,7
0,tests/train_files/train_deep_many_dominated_no_medium_v03.simpl,0,1600.0000,1.000,8
0,tests/train_files/train_deep_many_light_has_large_v01.simpl,0,3419.2307,1.000,31
0,tests/train_files/train_deep_many_light_has_large_v02.simpl,0,3050.0000,1.000,28
0,tests/train_files/train_deep_many_light_has_large_v03.simpl,0,2971.4285,1.000,29
0,tests/train_files/train_deep_many_light_has_medium_v01.simpl,0,2249.9998,1.000,8
0,tests/train_files/train_deep_many_light_has_medium_v02.simpl,0,2250.0000,1.000,6
0,tests/train_files/train_deep_many_light_has_medium_v03.simpl,0,2499.9998,1.000,7
0,tests/train_files/train_deep_many_light_no_large_v01.simpl,0,3550.0000,1.000,30
0,tests/train_files/train_deep_many_light_no_large_v02.simpl,0,2828.5713,1.000,27
0,tests/train_files/train_deep_many_light_no_large_v03.simpl,0,2761.9048,1.000,28
0,tests/train_files/train_deep_many_light_no_medium_v01.simpl,0,3125.0000,1.000,10
0,tests/train_files/train_deep_many_light_no_medium_v02.simpl,0,1749.9999,1.000,7
0,tests/train_files/train_deep_many_light_no_medium_v03.simpl,0,1600.0000,1.000,8
0,tests/train_files/train_deep_many_none_has_large_v01.simpl,0,3683.3333,1.000,33
0,tests/train_files/train_deep_many_none_has_large_v02.simpl,0,2766.6665,1.000,30
0,tests/train_files/train_deep_many_none_has_large_v03.simpl,0,3296.1538,1.000,31
0,tests/train_files/train_deep_many_none_has_medium_v01.simpl,0,2249.9998,1.000,8
0,tests/train_files/train_deep_many_none_has_medium_v02.simpl,0,2166.6665,1.000,6
0,tests/train_files/train_deep_many_none_has_medium_v03.simpl,0,1999.9999,1.000,7
0,tests/train_files/train_deep_many_none_no_large_v01.simpl,0,3269.2307,1.000,32
0,tests/train_files/train_deep_many_none_no_large_v02.simpl,0,2971.4285,1.000,29
0,tests/train_files/train_deep_many_none_no_large_v03.simpl,0,2800.0000,1.000,30
0,tests/train_files/train_deep_many_none_no_medium_v01.simpl,0,2361.1111,1.000,10
0,tests/train_files/train_deep_many_none_no_medium_v02.simpl,0,1749.9999,1.000,7
0,tests/train_files/train_deep_many_none_no_medium_v03.simpl,0,1999.9999,1.000,8
0,tests/train_files/train_deep_none_dominated_no_large_v01.simpl,0,2916.6667,1.000,35
0,tests/train_files/train_deep_none_dominated_no_large_v02.simpl,0,3500.0000,1.000,35
0,tests/train_files/train_deep_none_dominated_no_large_v03.simpl,0,2916.6667,1.000,35
0,tests/train_files/train_deep_none_dominated_no_medium_v01.simpl,0,333.3333,1.000,1
0,tests/train_files/train_deep_none_dominated_no_medium_v02.simpl,0,250.0000,1.000,1
0,tests/train_files/train_deep_none_dominated_no_medium_v03.simpl,0,250.0000,1.000,1
0,tests/train_files/train_deep_none_none_no_large_v01.simpl,0,2500.0000,1.000,35
0,tests/train_files/train_deep_none_none_no_large_v02.simpl,0,2916.6667,1.000,35
0,tests/train_files/train_deep_none_none_no_large_v03.simpl,0,2333.3335,1.000,35
0,tests/train_files/train_deep_none_none_no_medium_v01.simpl,0,0.0000,1.000,0
0,tests/train_files/train_deep_none_none_no_medium_v02.simpl,0,0.0000,1.000,0
0,tests/train_files/train_deep_none_none_no_medium_v03.simpl,0,0.0000,1.000,0
0,tests/train_files/train_none_few_dominated_has_large_v01.simpl,0,4583.3335,1.000,51
0,tests/train_files/train_none_few_dominated_has_large_v02.simpl,0,4939.3940,1.000,51
0,tests/train_files/train_none_few_dominated_has_large_v03.simpl,0,5500.0000,1.000,51
0,tests/train_files/train_none_few_dominated_has_medium_v01.simpl,0,10999.9990,1.000,11
0,tests/train_files/train_none_few_dominated_has_medium_v02.simpl,0,7499.9995,1.000,11
0,tests/train_files/train_none_few_dominated_has_medium_v03.simpl,0,6333.3330,1.000,11
0,tests/train_files/train_none_few_dominated_no_large_v01.simpl,0,5271.4287,1.000,51
0,tests/train_files/train_none_few_dominated_no_large_v02.simpl,0,5700.0000,1.000,53
0,tests/train_files/train_none_few_dominated_no_large_v03.simpl,0,5366.6665,1.000,51
0,tests/train_files/train_none_few_dominated_no_medium_v01.simpl,0,7499.9995,1.000,11
0,tests/train_files/train_none_few_dominated_no_medium_v02.simpl,0,9499.9990,1.000,13
0,tests/train_files/train_none_few_dominated_no_medium_v03.simpl,0,8999.9990,1.000,11
0,tests/train_files/train_none_few_light_has_large_v01.simpl,0,4435.8975,1.000,53
0,tests/train_files/train_none_few_light_has_large_v02.simpl,0,4750.0000,1.000,53
0,tests/train_files/train_none_few_light_has_large_v03.simpl,0,4654.7617,1.000,53
0,tests/train_files/train_none_few_light_has_medium_v01.simpl,0,11999.9990,1.000,12
0,tests/train_files/train_none_few_light_has_medium_v02.simpl,0,7999.9995,1.000,12
0,tests/train_files/train_none_few_light_has_medium_v03.simpl,0,7999.9995,1.000,12
0,tests/train_files/train_none_few_light_has_tiny_v01.simpl,0,10999.9990,1.000,11
0,tests/train_files/train_none_few_light_has_tiny_v02.simpl,0,7499.9995,1.000,11
0,tests/train_files/train_none_few_light_has_tiny_v03.simpl,0,7499.9995,1.000,11
0,tests/train_files/train_none_few_light_no_large_v01.simpl,0,5121.2119,1.000,53
0,tests/train_files/train_none_few_light_no_large_v02.simpl,0,5083.3330,1.000,55
0,tests/train_files/train_none_few_light_no_large_v03.simpl,0,5025.9741,1.000,53
0,tests/train_files/train_none_few_light_no_medium_v01.simpl,0,11999.9990,1.000,12
0,tests/train_files/train_none_few_light_no_medium_v02.simpl,0,10999.9990,1.000,14
0,tests/train_files/train_none_few_light_no_medium_v03.simpl,0,7999.9995,1.000,12
0,tests/train_files/train_none_few_light_no_tiny_v01.simpl,0,7499.9995,1.000,11
0,tests/train_files/train_none_few_light_no_tiny_v02.simpl,0,9499.9990,1.000,13
0,tests/train_files/train_none_few_light_no_tiny_v03.simpl,0,7499.9995,1.000,11
0,tests/train_files/train_none_few_none_has_large_v01.simpl,0,4750.0000,1.000,55
0,tests/train_files/train_none_few_none_has_large_v02.simpl,0,4821.4287,1.000,55
0,tests/train_files/train_none_few_none_has_large_v03.simpl,0,5303.0303,1.000,55
0,tests/train_files/train_none_few_none_has_medium_v01.simpl,0,12000.0000,1.000,14
0,tests/train_files/train_none_few_none_has_medium_v02.simpl,0,9000.0000,1.000,14
0,tests/train_files/train_none_few_none_has_medium_v03.simpl,0,7000.0000,1.000,14
0,tests/train_files/train_none_few_none_has_tiny_v01.simpl,0,7499.9995,1.000,11
0,tests/train_files/train_none_few_none_has_tiny_v02.simpl,0,7499.9995,1.000,11
0,tests/train_files/train_none_few_none_has_tiny_v03.simpl,0,7499.9995,1.000,11
0,tests/train_files/train_none_few_none_no_large_v01.simpl,0,4214.2856,1.000,55
0,tests/train_files/train_none_few_none_no_large_v02.simpl,0,5493.5068,1.000,57
0,tests/train_files/train_none_few_none_no_large_v03.simpl,0,5303.0303,1.000,55
0,tests/train_files/train_none_few_none_no_medium_v01.simpl,0,6333.3335,1.000,14
0,tests/train_files/train_none_few_none_no_medium_v02.simpl,0,8000.0000,1.000,16
0,tests/train_files/train_none_few_none_no_medium_v03.simpl,0,9000.0000,1.000,14
0,tests/train_files/train_none_few_none_no_tiny_v01.simpl,0,7499.9995,1.000,11
0,tests/train_files/train_none_few_none_no_tiny_v02.simpl,0,12999.9990,1.000,13
0,tests/train_files/train_none_few_none_no_tiny_v03.simpl,0,10999.9990,1.000,11
0,tests/train_files/train_none_many_dominated_has_large_v01.simpl,0,5777.7778,1.000,48
0,tests/train_files/train_none_many_dominated_has_large_v02.simpl,0,6377.7778,1.000,51
0,tests/train_files/train_none_many_dominated_has_large_v03.simpl,0,5977.7778,1.000,49
0,tests/train_files/train_none_many_dominated_has_medium_v01.simpl,0,12500.0000,1.000,20
0,tests/train_files/train_none_many_dominated_has_medium_v02.simpl,0,13000.0000,1.000,23
0,tests/train_files/train_none_many_dominated_has_medium_v03.simpl,0,8000.0000,1.000,21
0,tests/train_files/train_none_many_dominated_no_large_v01.simpl,0,4480.5195,1.000,47
0,tests/train_files/train_none_many_dominated_no_large_v02.simpl,0,6774.9995,1.000,50
0,tests/train_files/train_none_many_dominated_no_large_v03.simpl,0,5777.7778,1.000,48
0,tests/train_files/train_none_many_dominated_no_medium_v01.simpl,0,9000.0000,1.000,19
0,tests/train_files/train_none_many_dominated_no_medium_v02.simpl,0,7249.9995,1.000,22
0,tests/train_files/train_none_many_dominated_no_medium_v03.simpl,0,10000.0000,1.000,20
0,tests/train_files/train_none_many_light_has_large_v01.simpl,0,5168.8311,1.000,54
0,tests/train_files/train_none_many_light_has_large_v02.simpl,0,5787.8789,1.000,57
0,tests/train_files/train_none_many_light_has_large_v03.simpl,0,6100.0000,1.000,55
0,tests/train_files/train_none_many_light_has_medium_v01.simpl,0,10000.0000,1.000,20
0,tests/train_files/train_none_many_light_has_medium_v02.simpl,0,15499.9990,1.000,23
0,tests/train_files/train_none_many_light_has_medium_v03.simpl,0,11000.0000,1.000,21
0,tests/train_files/train_none_many_light_no_large_v01.simpl,0,4654.7617,1.000,53
0,tests/train_files/train_none_many_light_no_large_v02.simpl,0,5454.5454,1.000,56
0,tests/train_files/train_none_many_light_no_large_v03.simpl,0,6150.0000,1.000,54
0,tests/train_files/train_none_many_light_no_medium_v01.simpl,0,9000.0000,1.000,19
0,tests/train_files/train_none_many_light_no_medium_v02.simpl,0,12000.0000,1.000,22
0,tests/train_files/train_none_many_light_no_medium_v03.simpl,0,12500.0000,1.000,20
0,tests/train_files/train_none_many_none_has_large_v01.simpl,0,5350.6494,1.000,56
0,tests/train_files/train_none_many_none_has_large_v02.simpl,0,5583.3335,1.000,59
0,tests/train_files/train_none_many_none_has_large_v03.simpl,0,5250.0000,1.000,57
0,tests/train_files/train_none_many_none_has_medium_v01.simpl,0,10000.0000,1.000,20
0,tests/train_files/train_none_many_none_has_medium_v02.simpl,0,9000.0000,1.000,23
0,tests/train_files/train_none_many_none_has_medium_v03.simpl,0,10499.9990,1.000,21
0,tests/train_files/train_none_many_none_no_large_v01.simpl,0,5207.7925,1.000,55
0,tests/train_files/train_none_many_none_no_large_v02.simpl,0,5636.3638,1.000,58
0,tests/train_files/train_none_many_none_no_large_v03.simpl,0,5469.6973,1.000,56
0,tests/train_files/train_none_many_none_no_medium_v01.simpl,0,9000.0000,1.000,19
0,tests/train_files/train_none_many_none_no_medium_v02.simpl,0,12000.0000,1.000,22
0,tests/train_files/train_none_many_none_no_medium_v03.simpl,0,12500.0000,1.000,20
0,tests/train_files/train_none_none_dominated_no_large_v01.simpl,0,4454.5454,1.000,49
0,tests/train_files/train_none_none_dominated_no_large_v02.simpl,0,3769.2307,1.000,49
0,tests/train_files/train_none_none_dominated_no_large_v03.simpl,0,4454.5454,1.000,49
0,tests/train_files/train_none_none_dominated_no_medium_v01.simpl,0,7999.9995,1.000,8
0,tests/train_files/train_none_none_dominated_no_medium_v02.simpl,0,7999.9995,1.000,8
0,tests/train_files/train_none_none_dominated_no_medium_v03.simpl,0,3999.9998,1.000,8
0,tests/train_files/train_none_none_dominated_no_tiny_v01.simpl,0,500.0000,1.000,1
0,tests/train_files/train_none_none_dominated_no_tiny_v02.simpl,0,999.9999,1.000,1
0,tests/train_files/train_none_none_dominated_no_tiny_v03.simpl,0,999.9999,1.000,1
0,tests/train_files/train_none_none_none_no_large_v01.simpl,0,4226.1904,1.000,50
0,tests/train_files/train_none_none_none_no_large_v02.simpl,0,3666.6667,1.000,50
0,tests/train_files/train_none_none_none_no_large_v03.simpl,0,3935.8975,1.000,50
0,tests/train_files/train_none_none_none_no_medium_v01.simpl,0,4999.9995,1.000,9
0,tests/train_files/train_none_none_none_no_medium_v02.simpl,0,4999.9995,1.000,9
0,tests/train_files/train_none_none_none_no_medium_v03.simpl,0,4999.9995,1.000,9
0,tests/train_files/train_none_none_none_no_tiny_v01.simpl,0,1999.9999,1.000,2
0,tests/train_files/train_none_none_none_no_tiny_v02.simpl,0,1999.9999,1.000,2
0,tests/train_files/train_none_none_none_no_tiny_v03.simpl,0,1999.9999,1.000,2
0,tests/train_files/train_shallow_few_dominated_has_large_v01.simpl,0,3123.0769,1.000,39
0,tests/train_files/train_shallow_few_dominated_has_large_v02.simpl,0,3850.0000,1.000,37
0,tests/train_files/train_shallow_few_dominated_has_large_v03.simpl,0,3019.2307,1.000,37
0,tests/train_files/train_shallow_few_dominated_has_medium_v01.simpl,0,2000.0000,1.000,6
0,tests/train_files/train_shallow_few_dominated_has_medium_v02.simpl,0,1249.9999,1.000,4
0,tests/train_files/train_shallow_few_dominated_has_medium_v03.simpl,0,1749.9999,1.000,4
0,tests/train_files/train_shallow_few_dominated_no_large_v01.simpl,0,2865.3845,1.000,35
0,tests/train_files/train_shallow_few_dominated_no_large_v02.simpl,0,3300.0000,1.000,33
0,tests/train_files/train_shallow_few_dominated_no_large_v03.simpl,0,2865.3845,1.000,35
0,tests/train_files/train_shallow_few_dominated_no_medium_v01.simpl,0,749.9999,1.000,2
0,tests/train_files/train_shallow_few_dominated_no_medium_v02.simpl,0,0.0000,1.000,0
0,tests/train_files/train_shallow_few_dominated_no_medium_v03.simpl,0,749.9999,1.000,2
0,tests/train_files/train_shallow_few_light_has_large_v01.simpl,0,3500.0000,1.000,41
0,tests/train_files/train_shallow_few_light_has_large_v02.simpl,0,4050.0000,1.000,39
0,tests/train_files/train_shallow_few_light_has_large_v03.simpl,0,3123.0769,1.000,39
